Ensembl ID,Description,Gene Name,OMIM number,Curator's Note,PubMed IDs,Localisation,First order,Second order,In SCGSv1,Predicted in SCGSv1 paper,Predicted in CiliaCarta
ENSG00000159625,dynein regulatory complex subunit 7(DRC7),DRC7,,"Central linker subunit that helps connect the N-DRC to the outer dynein arms. Loss of DRC7 causes defects in sperm storage and fertility (PMID: 31659045). Essential for the correct assembly of the N-DRC and flagella; stability of the N-DRC is essential for proper axoneme elongation. DRC7 is essential to localize DRC5 in the correct place, and that DRC5 regulates flagellar motility (PMID: 31961863)","PMID: 31659045, PMID: 31961863.",Entire axoneme. Central region of the N-DRC linker including the outer dynein/inner dynein linker.,x,,,x,x
ENSG00000184845,dopamine receptor D1(DRD1),DRD1,,"Role in motile ciliary beating in ependymal cells by regulation of catecholamines. Mediation of cellular responses to distinct endogenous catecholamines, which suggests that primary cilia play a fundamental role in enhancing the selectivity of integrated catecholamine signaling (PMID: 23936473)",PMID: 23936473,"Ciliary surface, plasma membrane",x,,x,,x
ENSG00000169676,dopamine receptor D5(DRD5),DRD5,,Ciliary mechanosensory protein in vascular endothelial cells. DR5 activation increases cilia length in a concentration-dependent manner and restores cilia function in the mutant cells (PMID: 21709211),PMID: 21709211,"Primary cilia, ciliary surface.",x,,x,,x
ENSG00000107404,dishevelled segment polarity protein 1(DVL1),DVL1,601365,Essential for the docking of basal bodies to the apical plasma membrane through the activation of the Rho GTPase. DVL and Rho are required for the planar polarization of basal bodies that underlies directional beating of cilia (PMID: 18552847). DVL is a central component of WNT signalling. PTEN regulates multicilia formation and cilia disassembly by controlling the phosphorylation of DVL (PMID: 26399523).,"PMID: 18552847, PMID: 26399523",Basal Body,x,,x,,x
ENSG00000187240,dynein cytoplasmic 2 heavy chain 1(DYNC2H1),DYNC2H1,603297,"Also known as DHC2. Component of interflagellar transport dynein assembly complex, that regulates retrograde trafficking from the ciliary tip to the base (PMID: 30429209, PMID: 9971742). Directly involved in the contacts and translocation of the dynein complex along microtubules via its large motor domain (PMID: 19442771). Role in Golgi","PMID: 30429209, PMID: 9971742, PMID: 19442771, PMID: 8666668.","Golgi, axoneme, peri- basal body pool",x,,x,,x
ENSG00000138036,dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1),DYNC2LI1,617083,"Component of the dynein‐2 microtubule motor protein complex with a role in the retrograde transport of cargo in primary cilia. Mutations have been associated to Ellis- van Creveld syndrome (PMID: 28857138, PMID: 26130459). Essential for dynein-2 complex stability, cilium function, Hedgehog regulation, skeletogenesis and primary cilia length (PMID: 26077881),","PMID: 28857138, PMID: 26130459, PMID: 26077881","Cytoplasm, centrosomes, around basal body, transition zone.",x,,,x,x
ENSG00000088986,dynein light chain LC8-type 1(DYNLL1),DYNLL1,,"Control of retrograde intraflagellar trafficking of ciliary proteins through interaction with WDR34 and ciliogenesis by serving as dynein-1 subunits (PMID: 25294941, PMID: 30649997).","PMID: 25294941, PMID: 30649997","Base of cillium, ciliary axoneme.",x,,,,x
ENSG00000264364,dynein light chain LC8-type 2(DYNLL2),DYNLL2,,,"PMID: 25294941, PMID: 30649997","Base of cillium, ciliary axoneme.",x,,,,
ENSG00000125971,dynein light chain roadblock- type 1(DYNLRB1),DYNLRB1,,"Required for the correct assembly of the dynein complex. It has been implicated in controlling its association with cargo molecules (PMID: 25205765). Component of the WDR34 subcomplex (DYNLL1/DYNLL2 and DYNLRB1/DYNLRB2), crucial for dynein-2 function in retrograde ciliary protein trafficking (PMID: 30649997). DYNLRB1 is essential for dynein-mediated axonal transport of lysosomes, late endosomes and signaling endosomes (PMID: 32088381)","PMID: 25205765, PMID: 30649997, PMID: 32088381","Base of cillium, ciliary axoneme.",x,,x,,x
ENSG00000168589,dynein light chain roadblock- type 2(DYNLRB2),DYNLRB2,,"Component of the WDR34 subcomplex (DYNLL1/DYNLL2 and DYNLRB1/DYNLRB2), crucial for dynein-2 function in retrograde ciliary protein trafficking (PMID: 30649997, PMID: 32088381).","PMID: 30649997, PMID: 32088381","Base of cillium, ciliary axoneme.",x,,,,x
ENSG00000146425,dynein light chain Tctex-type 1(DYNLT1),DYNLT1,,"Also known as TCTEX1. Light chain subunit of cytoplasmic dynein. Regulation of ciliary resorption and S-phase entry. Tctex-1 is not required for ciliogenesis, but is critical for cilium disassembly (PMID: 21394082). Component of dynein-2. Modulator of cilia length control; depletion is associated to increased cilia length (PMID: 21700358).","PMID:21700358, PMID:21394082","Axoneme, transition Zone between primary cilia and basal body.",x,,x,,x
ENSG00000134874,DAZ interacting zinc finger protein 1(DZIP1),DZIP1,,"Mediates membrane/basal- body interactions, functions in basal-body maturation and transition zone organisation. Required to recruit Fam92 and Cby at the basal body distal end, allowing proper transition zone assembly; both DZIP and FARM92 control the distal elongation of basal bodies and docking to the plasma membrane (PMID: 31821146, PMID: 32491167). Mediates the assembly of the BBSome-Dzip1-PCM1 complex in the centriolar satellites for ciliary translocation of the BBSome (PMID: 27979967). Necessary for recruiting IFT machinery to the distal appendages of the mother centrioles and for bridging IFT88 to the cargo that contains GLI3. Positive regulator of Shh (PMID: 23955340). Together with GSK3β and Rab8, DZIP1 co- regulates ciliogenesis by promoting ciliary membrane assembly (PMID: 25860027).","PMID: 27979967, PMID: 32491167, PMID: 31118289, PMID: 23955340, PMID: 25860027.","Transition zone, mother centrioles, centriolar satellites, cytoplasm, nucleus.",x,,,,x
ENSG00000205250,E2F transcription factor 4(E2F4),E2F4,,"Mediation of the transcriptional responses of Multicilin. Forms apical cytoplasmic organizing centres for multiciliogenesis, recruitment and accumulation of early regulators of centriole biogenesis to allow assembly and nucleation of deuterosomes (PMID: 28675157).",PMID: 28675157,"Nucleus, cytoplasm (beneath primary cillium and in small foci or granules).",,x,,,x
ENSG00000203965,EF-hand calcium binding domain 7(EFCAB7),EFCAB7,,Positive regulation of Hedgehog pathway. Adaptor to link the EVC-EVC2 complex to IQCE (PMID: 24582806).,PMID: 24582806,Base of cilia in the EvC zone,x,,,,x
ENSG00000096093,EF-hand domain containing 1(EFHC1),EFHC1,608815,Also known as RIB72. Encondes a non-ion channel protein myoclonin1. Modulates TRP mechanosensitive calcium channels. Mutations are linked to juvenile myoclonic epilepsy (PMID: 30810526). Regulation of Wnt signaling (PMID: 26783883). Interacts functionally with the system of linkages that hold the doublet microtubules and limits microtubule sliding (PMID:,"PMID: 30810526, PMID: 26783883, PMID: 12435737,",Ciliary axoneme.,x,,x,,x
ENSG00000146648,epidermal growth factor receptor(EGFR),EGFR,,"Suppression of ciliogenesis by directly phosphorylating the deubiquitinase USP8, which stabilises the trichoplein-Aurora A pathway (PMID: 29472535) and through the MEK and ERK pathway (PMID: 31430961). Contributes to cell cycle progression through inhibition of ciliogenesis (PMID: 29472535).","PMID: 29472535, PMID: 31430961.","Golgi, plasma membrane, clathrin coated vesicle membrane, lipid raft, cell junctions",,x,,,
ENSG00000110047,EH domain containing 1(EHD1),EHD1,,,"PMID: 26884322, PMID: 30683896, PMID: 25686250","Ciliary pocket membrane, membrane tubules, pre-ciliary vesicles and distal appendage vesicles. Centrosome in the absence of Rab8",x,,,,x
ENSG00000013016,EH domain containing 3(EHD3),EHD3,,Function in early ciliogenesis by causing mother centriole reorganisation. Regulation of membrane tubulation required for ciliary vesicle formation from smaller distal appendage vesicles. EHD1 and EHD3 bind to the Rab8 effector MICAL-L1 and affect membrane tubulo-vesicle formation and scission (PMID: 25686250).,PMID: 25686250,"Ciliary pocket membrane, membrane tubules, pre-ciliary vesicles and distal appendage vesicles.",x,,,,x
ENSG00000151023,"enkurin, TRPC channel interacting protein(ENKUR)",ENKUR,,"Required for patterning the left/right axis in vertebrates. Mutations in humans cause situs inversus (PMID: 29257953). Potential role as a Ca2+ sensor that participates in the regulation of mammalian flagellar bending (PMID: 29733335, PMID: 15385169).","PMID: 29257953, PMID: 29733335, PMID: 15385169.","Motile cilia, axoneme.Near to developing acrosome in mouse spermatides.",x,,,x,x
ENSG00000165689,endosome associated trafficking regulator 1(ENTR1),ENTR1,,"Interacts with the intraflagellar transport protein 88 (IFT88), involved in ciliogenesis and intraciliary transport. Required for ciliary localization of Polycystin-2, mediating the transport of Polycystin-2 from the ciliary base into the cilium (PMID: 27767179).",PMID: 27767179,"Early and recycling endosomes, basal body (in the proximity interactome of several centriole distal appendage proteins)",x,,,,
ENSG00000173040,EvC ciliary complex subunit 2(EVC2),EVC2,607261,"Positive regulator of the Hh signalling pathway, interacting with Smo and promoting Sufu/Gli3 dissociation and Gli3 ciliary traffic (PMID: 17660199, PMID: 23026747, PMID: 21356043, PMID: 22986504,PMID: 22981989). Mutated in Ellis-van Creveld syndrome (PMID: 21356043). EVC1 and EVC2 are mutually required for localizing to primary cilia and also for maintaining their normal protein levels (PMID: 23026747).","PMID: 17660199, PMID: 23026747, PMID: 22986504, PMID: 21356043, PMID: 22981989","Basal body, primary cilia, nucleus.",x,,x,,x
ENSG00000180104,exocyst complex component 3(EXOC3),EXOC3,,"Also known as SEC6. Inhibition of ciliary shedding, blocks deciliation-associated down-regulation of claudin-2 and gp135 (PMID:19005211). Sec6/8 complex cooperates with cooperate with syntaxin 3 and SNAP-25, ceing a candidate effector for Rab8 at the rhodopsin transport carriers (RTC) docking site (PMID: 19454479)","PMID: 19005211, PMID: 19454479.","Primary cilia, domains in the vicinity of RTC fusion sites",x,,x,,x
ENSG00000070367,exocyst complex component 5(EXOC5),EXOC5,,"Also known as SEC10. Central and particularly important exocyst component required for exocyst formation and function. Regulation of primary ciliogenesis and cystogenesis through interactions with Par3 (PMID: 19297529, PMID: 30824539). Linker for other exocyst components, and interacts with polycystin-2, IFT20 and IFT88. Dysfunction may contribute to ciliopathies including autosomal dominant polycystic kidney disease ADPKD (PMID: 21490950).","PMID: 19297529, PMID: 30824539, PMID: 21490950","Entire length of primary cillium, and tight junction.",x,,x,,x
ENSG00000138190,exocyst complex component 6(EXOC6),EXOC6,,"Also known as Sec15. Interacts with Rabin8 and is a downstream effector of Rab8. Rabin8-Rab8-Sec15 interaction is involved in the regulation of vesicular trafficking, tethering, and fusion for primary cilium formation. Disruption of function of Sec15 leads to a block of endosomal recycling and impaired ciliogenesis (PMID: 22433857, PMID: 23435566).","PMID: 22433857, PMID: 23435566",Along primary cillium,x,,x,,x
ENSG00000106462,enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2),EZH2,601573,"Methyltransferase unit of PRC2. EZH2 suppresses genes functionally connected to the primary cilium, promoting loss of primay cilia; inhibition induces primary cilium formation in most melanoma cell. Loss of cilia",PMID: 30008323,Pimary cillium.,x,,,,
ENSG00000188343,family with sequence similarity 92 member A(FAM92A),FAM92A,617273,"Interact with Cby1 to promote ciliogenesis via regulation of membrane-remodeling processes, inducing the formation of membrane globule like structures, which contain Rab8 (PMID: 27528616). Mutated in nonsyndromic postaxial polydactyly. Role in limb development (PMID: 30395363).","PMID: 27528616, PMID: 30395363","Centrioles/basal body, distal appendages",x,,,,x
ENSG00000153789,family with sequence similarity 92 member B(FAM92B),FAM92B,,"Cby1-interacting partner to promote ciliogenesis through regulation of membrane- remodeling processes, inducing the formation of membrane tubule like structures, which contain Rab8 (PMID: 27528616).",PMID: 27528616,"Centrioles/basal body, distal appendages",x,,,,x
ENSG00000170264,family with sequence similarity 161 member A(FAM161A),FAM161A,613596,"Causative gene for retinitis pigmentosa (PMID: 20705278). Retinal ciliopathy protein that is part of connecting cillium complex. Interacts with CEP290, lebercin, OFD1 and SDCCAG8. These interactions suggest that FAM161A could be involved in protein transport and docking between the inner segments and outer plexiform layer (PMID: 22940612). Component of microtubule- organizing centers that associates with the intracellular microtubule network to increase the acetylation of α-tubulin. Involved in microtubule stabilization to maintain the microtubule tracks and/or in transport processes along cytoplasmic and ciliary microtubules (PMID: 24664697, PMID: 22791751).","PMID: 22940612, PMID: 24664697, PMID: 22791751, PMID: 20705278.","Connecting cillium, basal body, adjacent centriole, centrosome. Inner segments and outer plexiform layer",x,,x,,x
ENSG00000164556,"family with sequence similarity 183 member B, pseudogene(FAM183BP)",FAM183BP,,"Required for ciliogenesis and motility of epidermal multiciliated cells and nephrostomes. Interaction partner of nucleoporin NUP93, which may function as scaffolding proteins at the ciliary base.",PMID: 30279523,Basal Body,x,,,,
ENSG00000188878,Fas binding factor 1(FBF1),FBF1,,Transition fiber protein required for ciliogenesis and the ciliary import of assembled intraflagellar transport particles at the cilia base (PMID: 24231678). Functions in centriole duplication by recruiting HsSAS‐6 and promotes centrosome separation (PMID: 30318703).,"PMID: 24231678, PMID: 30318703.","Distal appendages of mother centriole, proximal end of centrioles, transition fibers.",x,,x,,x
ENSG00000068078,fibroblast growth factor receptor 3(FGFR3),FGFR3,134934,"Interacts with ICK to regular¿te ciliogenesis and control ciliary length (PMID: 30782830). FGFR3 signaling affects the elongation process of the primary cilia. Constitutively active FGFR3 perturbed cilia length, sorting and trafficking of intraflagellar transport 20 (PMID: 29040558). Mutations in FGFR3 lead to short primary cilia, and constitutive activation of FGFR3 signaling produces the skeletal disorders achondroplasia and thanatophoric dysplasia (PMID: 29360984).","PMID: 30782830, PMID: 29040558, PMID: 29360984.","Axoneme, cytoplasm.",x,,,,
ENSG00000137460,FH2 domain containing 1(FHDC1),FHDC1,,"Coordination of cytoskeletal dynamics during normal cilia assembly. Interacts with CEP170 to regulare cilia elongation and inhibition of cilia assembly. Overexpression of FHDC1 induces F-actin accumulation, microtubule stabilization, blocks cilia assembly and induces cilia resorption",PMID: 29742020,Cytoplasmic microtubules converging on the base of the cilia.,,x,,,
ENSG00000154803,folliculin(FLCN),FLCN,607273,"Part of the mechanosensory machinery of primary cilia. Tumor suppressor associated with Birt-Hogg-Dubé (BHD) syndrome. Down-regulation of mTORC1 signaling pathway through primary cilia, it recruits and associates with LKB1 and recruits the kinase to primary cilia for activation of AMPK (PMID: 27072130). FLCN expression levels are critically important for correct timing of ciliogenesis and intracellular transport events involved in ciliogenesis (PMID: 23784378).",PMID: 27072130; PMID: 23784378,"Motile and non-motile cilia, centrosomes, mitotic spindle, cytoplasm, nucleus.",x,,,,x
ENSG00000196924,filamin A(FLNA),FLNA,300017,"Role in the normal processes of ciliogenesis and basal body positioning. Interacts with meckelin to regulate levels of Wnt signalling. Knockdown causes a failure in ciliogenesis and aberrant migration of the centriole pair to the apical cell surface suggestion FLNA is essential in mediating basal body migration and docking at the apical cell surface (PMID: 22121117, PMID: 28973524).","PMID: 22121117, PMID: 28973524","Basal body, transition zone and apical cell surface.",x,,x,,x
ENSG00000133393,FGFR1OP N-terminal like(FOPNL),FOPNL,,Regulation of integrity of the centriole distal end and membrane anchoring. Complex with OFD1 to initiate ciliogenesis and control cilia length (PMID: 26643951). Involved in cilia formation and regulating the interaction of PCM1 satellites with microtubules and motors (PMID: 20551181). Regulates the assembly and maintains the stability and dynamics of microtubules. It may inhibit tubulin assembly by sequestering soluble tubulin (PMID: 28694353).,"PMID: 26643951, PMID: 20551181, PMID: 28694353","Pericentriolar satellites, centrosomes.",x,,x,,x
ENSG00000129654,forkhead box J1(FOXJ1),FOXJ1,,Transcription factor that controls motile cilia formation (PMID: 19011630). Activates the transcription of numerous known ciliary genes and specifically regulates motile cilia biogenesis (PMID: 30881373). Regulation of programs promoting basal body docking and axoneme formation. Role of FOXJ1 in the differentiation of motile ciliated cells is modulated by the transcription factor Not homeobox (NOTO) and the regulatory factor X (RFX)- family (PMID: 23822649),"PMID: 19011630, PMID: 30881373,PMID: 23822649",Nucleus,,x,x,,x
ENSG00000105255,fibronectin type III and SPRY domain containing 1(FSD1),FSD1,,"Anchors microtubules asters to interphase centrosomes by directly binding microtubules to mother centriole, and controls transition zone assembly during ciliogenesis",PMID: 30538248,Middle region of both centrioles,x,,,,
ENSG00000188738,fibrous sheath interacting protein 2(FSIP2),FSIP2,615796,"Major structural protein of the fibrous sheath (FS) shown to bind to AKAP4, required for FS assembly. Regulaties PKA anchoring to AKAP4. Involved in the control of sperm flagellum elasticity and signaling pathways that regulate sperm motility. Mutations in FSIP2 are a recurrent cause of multiple morphological abnormalities of the sperm flagella.","PMID: 30137358, PMID: 30867909.",Periaxonemal structures.,x,,,,
ENSG00000163430,follistatin like 1(FSTL1),FSTL1,,Novel regulator of ciliogenesis in a non-cell autonomous manner due to its activity as a BMP4 inhibitor. BBS4 regulates the cellular trafficking of FSTL1.,PMID: 28852127,"Cytoplasms (intracellular vesicles), secreted protein expected to be in the lumen of the Golgi and post-Golgi vesicles",,x,,,
ENSG00000178234,polypeptide N- acetylgalactosaminyltransferase 11(GALNT11),GALNT11,,"Candidate disease gene in heterotaxy. Modifies Notch to establish an essential balance between motile and immotile cilia at the left-right organiser, necessary to determine laterality.",PMID: 24226769,Golgi,,x,,,x
ENSG00000182687,galanin receptor 2(GALR2),GALR2,,Neuronal ciliary GPCR. Galanin receptor.,PMID: 26167768,Neuronal cilia membrane,x,,,,
ENSG00000128310,galanin receptor 3(GALR3),GALR3,,Neuronal ciliary GPCR. Galanin receptor.,PMID: 26167768,Neuronal cilia membrane,x,,,,x
ENSG00000141013,growth arrest specific 8(GAS8),GAS8,605178,Role in ciliary motility. Implicated in the Hh signaling pathway by binding to Smo and regulating its traficking into the cilium (PMID: 21659505). Mutations are associated with human disease as a cause of severe PCD phenotypes (PMID: 27472056).,"PMID: 27472056, PMID: 21659505","Axoneme of motile cilia, base of primary cilia, vesicles in cytoplasm.",x,,x,,x
ENSG00000111087,GLI family zinc finger 1(GLI1),GLI1,,Hedgehog signaling pathway effector. GLI1 activation depends on cilia.,PMID: 21209912,Ciliary Tip,x,,x,,x
ENSG00000074047,GLI family zinc finger 2(GLI2),GLI2,,Hedgehog signaling pathway effector. Cilia or interflagellar transport proteins are required for GLI2 function and regulation (PMID: 21209912). Regulates autophagy- mediated Ofd1 removal to control primary cilia formation and length (PMID: 30463852).,"PMID: 21209912, PMID: 30463852",Ciliary Tip,x,,x,,x
ENSG00000126603,GLIS family zinc finger 2(GLIS2),GLIS2,608539,"Bifunctional transcriptional regulator, either as an activator and a repressor (PMID: 11741991). Repressor of Hh signaling. Loss of function causes nephronophthisis-like phenotype (PMID: 27181777). Involved in epithelial-to- mesenchymal transition, fibrosis and apoptosis. Together with BBS1, GLIS2 (also called NPHP7) is required for normal ciliary motility, responsible for body assymmetry (PMID: 24069149).","PMID: 11741991, PMID: 27181777, PMID: 24069149.","Nucleus, cytoplasm and cilium.",x,,x,,x
ENSG00000205835,geminin coiled-coil domain containing(GMNC),GMNC,,"Also known as GEMC1. Regulator of multiciliated cells differentiation, interacting with E2F4/5‐DP1 and Multicilin. Candidate gene for human reduced generation of multiple motile cilia RGMC (PMID: 26933123). It transactivates the McIdas and FoxJ1 upstream regulatory sequences, markers of ciliogenesis (PMID: 26882546).","PMID: 26933123, PMID: 26882546.",Nucleus,,x,,,x
ENSG00000078369,G protein subunit beta 1(GNB1),GNB1,,Subunit of transducin. Localises to photoreceptor outer segment. Requires RP2 for normal localisation,"PMID: 26034135, PMID: 30970040",photoreceptor outer segment,x,,,,x
ENSG00000173230,golgin B1(GOLGB1),GOLGB1,,"Required for ciliogenesis and control of ciliary length, through the lregulation of pericentrosomal location of the dynein-2 intermediate chain WDR34. Depletion results in cilia number and structure (fewer but longer cilia) (PMID: 28546340, PMID: 24046448).",PMID: 28546340; PMID: 24046448,Golgi stack,,x,,,
ENSG00000179921,G protein-coupled bile acid receptor 1(GPBAR),GPBAR,,"Also known as TGR5. Linked to ERK signaling, which is activated in ciliated cholangiocytes but inhibited in nonciliated cholangiocytes. Involved in bile acid-induced proliferation of nonciliated cells. Its localisation allows cholangiocyte functional responses to bile acid signaling.",PMID: 23578785,"Apical plasma, ciliary, and nuclear membrane",x,,,,
ENSG00000184194,G protein-coupled receptor 173(GPR173),GPR173,,Also known as SREB3. Neuronal ciliary GPCR which may play sensory or signalling roles in the ciliary vesicle or procilium during ciliogenesis,PMID: 26167768,Adjacent centriole and the basal body of the connecting cilium,x,,,,
ENSG00000204882,G protein-coupled receptor 20(GPR20),GPR20,,Neuronal ciliary GPCR,PMID: 26167768,Adjacent centriole and the basal body of the connecting cilium,x,,,,
ENSG00000172209,G protein-coupled receptor 22(GPR22),GPR22,,Regulation of Left-Right asymmetry through the Kupffer’s vesicle (KV) and mantains cilia length and structure in KV.,PMID: 25335082,"Cilium membrane, cell membrane",x,,,,
ENSG00000181656,G protein-coupled receptor 88(GPR88),GPR88,,"Regulation of D1 dopamine receptor (D1R) signaling to inhibit cAMP accumulation, whitout affecting B2AR- mediated response.",PMID: 23936473,Cilium.,x,,,,
ENSG00000160360,G protein signaling modulator 1(GPSM1),GPSM1,,Also known as AGS3. Regulation fo Gβγ signaling pathway to recruits phospho(T94)Tctex-1 to the transition zone. Stabilises the GDP-bound form of Gαi wit IGF-1R to prevent its re- association with Gβγ and mantain it free.,PMID: 23954591,"Base of the cilium, basal body.",x,,,,
ENSG00000185974,G protein-coupled receptor kinase 1(GRK1),GRK1,180381,"Phosphorylation of opsins, playing a key role in the shutdown of the rod and cone cascades (PMID: 25422369). Peripherally associated proteins anchored to the membrane by lipid modifications. It inactivates rhodopsin through phosphorylation (PMID: 25550383).","PMID: 25422369, PMID: 25550383",Cone and rod outer segments.,x,,,,x
ENSG00000082701,glycogen synthase kinase 3 beta(GSK3B),GSK3B,,"Involved in primary cilia elongation, microtubule assembly, stability and dynamics. Modulates CRMP- 2 ciliary localisation, and its ephosphorylated state is required for ciliary function (PMID: 23185275). Ciliary- maintenance signalling network, its disruption causes loss of cilia (PMID: 17450132). Phosphorylates Sufu and stabilises it against Shh signaling-induced degradation (PMID: 21317289).","PMID: 23185275, PMID: 17450132, PMID: 21317289",Cillium,x,,x,,x
ENSG00000173805,huntingtin associated protein 1(HAP1),HAP1,,HTT-HAP1-dynactin complex facilitates microtubule dependent vesicular transport. Regulates PCM1 trafficking and interacts with and huntingtin to control ciliogenesis. Depletion leads to dispersion of PCM1 from centrosomes and reduced ciliogenesis in cells. (PMID: 21985783).,PMID:21985783,"Centrosome, pericentriolar satellites",x,,x,,x
ENSG00000094631,histone deacetylase 6(HDAC6),HDAC6,,"Regulation of ciliary resorption in response to extracelullar stress and it is also a downstream AurA effector. Destabilises the microtubular axoneme through deacetylation of tubulin, which promotes ciliary disassembly (PMID: 17604723, PMID: 24026243). Mediates an autophagy- dependent mechanism called ciliophagy (PMID: 24200693)","PMID: 17604723, PMID: 24026243, PMID: 24200693","Apical cell surface, cytoplasm.",,x,,,x
ENSG00000100644,hypoxia inducible factor 1 alpha subunit(HIF1A),HIF1A,,"Maintains the chondrocytes healthy under hypoxia (PMID: 31357086). Stabilised by USP8 through deubiquitination, which is essential for its ciliogenesis- promoting function (PMID: 24378640).","PMID: 24378640, PMID: 31357086","Nucleus, nuclear speckles, cytoplasm",,x,,,x
ENSG00000275410,HNF1 homeobox B(HNF1B),HNF1B,189907,"HNF1B deficiency is associated with ciliary anomalies in cholangiocytes and causes renal cysts. Regulates bile duct formation (PMID: 22706971). Control of the transcription of several genes expressed in tubular epithelial cells and transcriptional activation of Tg737/Polaris. HNF1β is not directly necessary for ciliogenesis, nevertheless, it may regulate the expression of genes that play a crucial role in cilium function (PMID:","PMID: 22706971, PMID: 15029248",Nucleus.,,x,,,
ENSG00000117594,hydroxysteroid 11-beta dehydrogenase 1,HSD11B1,,oxysterol synthase HSD11β2 participates in the production of Smoothened-activating cilia-localised oxysterols and promotes Hedgehog pathway activity.,PMID: 30340023,"ER, microsome",,x,,,
ENSG00000080824,heat shock protein 90 alpha family class A member 1,HSP90AA1,,Effector protein in the FOXJ1 regulatory network (PMID: 30881373). Hsp90α shows chaperone activity that might facilitate protein assembly and disassembly during ciliogenesis. Phosphorylated Hsp90α is likely to be a component of the distal appendages in the mother centriole (PMID: 25359884).,"PMID: 30881373, PMID: 25359884","Transition neck region, periciliary base,",x,,,x,x
ENSG00000109971,heat shock protein family A (Hsp70) member 8(HSPA8),HSPA8,,"Also called HSC70. Function in the formation or stabilization of IFT-cargo complexes working with MRJ. It may bind directly to IFT88 or to one or more additional TPR containing proteins within the IFT particle, which in turn recruit MRJ bound cargo proteins (PMID: 19302411).",PMID: 19302411,"Inner and outer segments, basal body",x,,x,,x
ENSG00000158748,5-hydroxytryptamine receptor 6(HTR6),HTR6,,"Also known as 5-HT6. Regulates length, morphology and function of neuronal primary cilia through ARL13B, influences cilia and axon initial segment. Involved in cognition and Alzheimer’s disease development (PMID: 28931427). Enable chemosensory functions in ciliated neurons to sense 5- HT in the immediate milieu (PMID: 10432491).","PMID: 10924708, PMID: 28931427, PMID: 10432491","Ciliary shaft, ciliary membrane of neural cilia.",x,,x,,x
ENSG00000197386,huntingtin(HTT),HTT,,Mutated in Huntington's Disease. Scaffolding protein required for vesicular transport via interactions with microtubules and motor protein cargo adaptors such as HAP1 and dynactin. Functional role in autophagy (PMID: 26160070). Essential for protein trafficking to the centrosome and normal ciliogenesis. Retrograde trafficking of PCM1 regulated by HTT and HAP1 to control ciliogenesis (PMID: 21985783).,"PMID: 26160070, PMID: 21985783.","Centrosome, pericentriolar satellites, basal body. Tip of axoneme of photoreceptor cilium",x,,x,,x
ENSG00000198331,"HYLS1, centriolar and ciliogenesis associated(HYLS1)",HYLS1,,"Required for intraflagellar transport trafficking and for centrioles to form cilia. Loss of HYLS-1 results in severe defects in axoneme assembly and transition zone organisation, due to impaired entry of IFT machinery to the cilia via DYF-19 (PMID: 28411189). Ciliogenesis mediation by regulating the formation of the ciliary gate; minor role in transition zone assembly. Required for distal centriole elongation and recruiting distal centriole proteins (PMID: 32509774). Essential for the apical targeting and/or anchoring of centrioles/basal body at the plasma membrane, contributin to basal body organisation (PMID: 19656802).","PMID: 28411189, PMID: 32509774, PMID: 19656802","Ciliary base, remanant in centriole. Outer centriole wall during centriole assembly.",x,,x,,x
ENSG00000187535,intraflagellar transport 140(IFT140),IFT140,614620,"Component of IFT-A complex, mutated in skeletal ciliopathies with kidney disease (PMID: 23418020). Associates with IFT122 and IFT144 to a stable IFT-A core subcomplex; indispensable for dynein proteins retrograde transport into the cytoplasm and flagellar assembly. Required for development and maintenance of outer segments, ciliary/flagellar assembly and signal transduction (PMID: 29236364, PMID: 24619649).","PMID: 23418020, PMID: 29236364, PMID: 24619649.","Basal Body, cillium, cytoplasm.",x,,x,,x
ENSG00000138002,intraflagellar transport 172(IFT172),IFT172,607386,"Component of IFT complex B. Involved in the switching between the anterograde and retrograde transport (PMID: 29659833). Essential for ciliary growth and maintenance, and morphogenesis of the cerebral cortex. Mutation cause alterations in multiple intracellular signaling pathways (PMID: 31850339, PMID: 18930042). Mutations are associated with severe skeleto-renal disorders with retinal involvement (PMID: 25168386).","PMID: 29659833, PMID: 31850339, PMID: 18930042, PMID: 25168386.","Basal Body, Cilium, IFT",x,,x,,x
ENSG00000128581,intraflagellar transport 22(IFT22),IFT22,,"Also known as RABL5, component of IFT complex B. Controls the cellular levels of both IFT‐A and IFT‐B proteins and to regulate availability of particles participating in IFT (PMID: 30940671). Recruitment of BBSome to the basal body through BBS3 and regulation of BBSome entry into the cilia (PMID: 31953262).","PMID: 30940671, PMID: 31953262.","Basal body, cilium, cell body, IFT",x,,x,,x
ENSG00000100360,intraflagellar transport 27(IFT27),IFT27,615870,"Also known as RABL4, component of IFT complex B. Forms a complex with IFT25 and associates with IFT-B inside cilia, interacts with and stabilises the nucleotide-free form of ARL6 to promote the exit of BBSome out of cilia. Mutated in Bardet-Biedl syndrome (PMID: 25443296). Required for BBSome trafficking essential for hedgehog signaling. IFT25/IFT27 complex plays a role in transporting Gli2 to the ciliary tip (PMID: 25446516). Role in the cargo loading of the retrograde transport machinery (PMID: 24843028).","PMID: 25443296, PMID: 25446516, PMID: 24843028","Basal Body, Cilium, IFT",x,,x,,x
